event_type,event_category,user_id,anonymous_id,session_id,product_id,metadata,created_at
SESSION_START,SYSTEM,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,,{},2026-03-05T14:02:58.058830+00:00
LOGIN,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,,{},2026-03-05T14:02:59.058830+00:00
SEARCH_QUERY,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,,{},2026-03-05T14:03:01.058830+00:00
VIEW_PRODUCT,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,33,{},2026-03-05T14:03:02.058830+00:00
SEARCH_QUERY,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,,{},2026-03-05T14:03:05.058830+00:00
VIEW_PRODUCT,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,69,{},2026-03-05T14:03:12.058830+00:00
SEARCH_QUERY,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,,{},2026-03-05T14:03:13.058830+00:00
VIEW_PRODUCT,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,47,{},2026-03-05T14:03:14.058830+00:00
SEARCH_QUERY,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,,{},2026-03-05T14:03:29.058830+00:00
VIEW_PRODUCT,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,44,{},2026-03-05T14:03:32.058830+00:00
SEARCH_QUERY,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,,{},2026-03-05T14:03:47.058830+00:00
VIEW_PRODUCT,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,59,{},2026-03-05T14:03:48.058830+00:00
SEARCH_QUERY,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,,{},2026-03-05T14:03:56.058830+00:00
VIEW_PRODUCT,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,59,{},2026-03-05T14:03:58.058830+00:00
SEARCH_QUERY,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,,{},2026-03-05T14:04:05.058830+00:00
VIEW_PRODUCT,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,68,{},2026-03-05T14:04:07.058830+00:00
SEARCH_QUERY,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,,{},2026-03-05T14:04:13.058830+00:00
VIEW_PRODUCT,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,10,{},2026-03-05T14:04:16.058830+00:00
SEARCH_QUERY,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,,{},2026-03-05T14:04:26.058830+00:00
VIEW_PRODUCT,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,35,{},2026-03-05T14:04:28.058830+00:00
VIEW_PRODUCT,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,45,{},2026-03-05T14:04:39.058830+00:00
ADD_TO_CART,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,45,{},2026-03-05T14:04:40.058830+00:00
SEARCH_QUERY,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,,{},2026-03-05T14:04:54.058830+00:00
VIEW_PRODUCT,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,35,{},2026-03-05T14:04:55.058830+00:00
SESSION_END,SYSTEM,c2037216-4a6c-4af0-ba90-aca0cca6e549,,04fbc127-80f2-4c44-8b2c-8cc643299041,,{},2026-03-05T14:04:59.058830+00:00
SESSION_START,SYSTEM,c2037216-4a6c-4af0-ba90-aca0cca6e549,,ed305e5f-b2e7-413c-9608-424d50837e98,,{},2026-03-06T10:02:58.058830+00:00
SEARCH_QUERY,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,ed305e5f-b2e7-413c-9608-424d50837e98,,{},2026-03-06T10:02:59.058830+00:00
VIEW_PRODUCT,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,ed305e5f-b2e7-413c-9608-424d50837e98,59,{},2026-03-06T10:03:00.058830+00:00
VIEW_PRODUCT,USER,c2037216-4a6c-4af0-ba90-aca0cca6e549,,ed305e5f-b2e7-413c-9608-424d50837e98,23,{},2026-03-06T10:03:12.058830+00:00
